on x=-28..16,y=-48..0,z=-7..44
on x=-9..42,y=-28..23,z=-5..48
on x=-39..13,y=-42..6,z=-39..14
on x=-35..18,y=-38..12,z=0..47
on x=-24..30,y=-46..6,z=1..48
on x=-47..-2,y=-36..12,z=-26..28
on x=-42..7,y=-48..4,z=-42..12
on x=-16..34,y=-34..19,z=-12..33
on x=-43..4,y=-16..35,z=-49..1
on x=1..45,y=-37..12,z=-24..22
off x=30..47,y=-2..8,z=25..44
on x=-40..6,y=-23..29,z=-5..39
off x=-37..-20,y=-42..-23,z=-42..-31
on x=-28..18,y=-20..26,z=-39..13
off x=30..40,y=-12..2,z=-14..3
on x=-4..41,y=-48..2,z=-31..23
off x=-11..1,y=-8..2,z=8..17
on x=-26..23,y=-33..12,z=1..46
off x=16..33,y=33..42,z=14..33
on x=-48..-1,y=-5..47,z=-40..7
on x=57565..90931,y=26499..35340,z=13098..30238
on x=12526..30462,y=-47593..-23231,z=53349..82894
on x=-91468..-65718,y=-5018..16034,z=-44293..-22624
on x=-27227..-6248,y=-40269..-13926,z=-78988..-63072
on x=3506..22610,y=62535..80794,z=17259..50792
on x=40376..51341,y=-63200..-43375,z=41471..61477
on x=8080..22197,y=3859..38352,z=67380..81053
on x=1552..12025,y=-14844..14749,z=-93591..-76724
on x=-11556..18749,y=4423..13302,z=63492..97778
on x=55222..88212,y=23821..46975,z=-4542..16574
on x=-61423..-39389,y=6266..14798,z=-65380..-46741
on x=-77838..-67024,y=-31207..-18158,z=-27575..-7129
on x=-81397..-70175,y=-31698..-4468,z=17360..30653
on x=-34942..-14208,y=-86721..-57389,z=-44462..-15624
on x=28293..37615,y=54913..70753,z=44795..60378
on x=-14689..2178,y=-78248..-62048,z=-25046..-11381
on x=-43367..-15800,y=15347..49611,z=47892..68887
on x=17298..38698,y=63715..78876,z=-19159..-1078
on x=5545..32230,y=70330..77003,z=-39779..-10047
on x=15711..38161,y=11178..23247,z=62912..96742
on x=-78364..-52921,y=-4149..20442,z=-43822..-23451
on x=-2043..10291,y=63545..92912,z=-23692..1811
on x=52430..72696,y=-7304..15557,z=-57003..-48979
on x=4290..16794,y=-56202..-36267,z=64889..84487
on x=58149..73002,y=-32056..-321,z=45707..61502
on x=-92535..-71614,y=-14445..-9868,z=-33553..-10996
on x=52964..83914,y=-56670..-27499,z=17329..34563
on x=-4772..21856,y=29778..39361,z=-80367..-60893
on x=37212..58320,y=48080..67507,z=22443..39369
on x=-3349..4038,y=-42044..-34489,z=69227..85868
on x=-45006..-32722,y=-30720..-11951,z=56186..84549
on x=-7689..27577,y=-12822..22041,z=78946..80465
on x=33203..56209,y=14482..31642,z=56726..73482
on x=-42633..-14727,y=-16013..-3704,z=-82977..-60874
on x=-27620..-4368,y=-77767..-63095,z=24638..48293
on x=-70148..-43581,y=-2416..17050,z=-64874..-44396
on x=-47146..-30044,y=38306..60675,z=-64601..-41001
on x=-79530..-78117,y=-3116..8851,z=-23691..-3172
on x=46778..66546,y=-60904..-34009,z=-30872..-2675
on x=13768..39056,y=-37358..-26538,z=-79313..-53374
on x=9153..38127,y=-21602..5851,z=54990..82623
on x=17933..33387,y=-20067..-8352,z=56088..85736
on x=-74337..-53322,y=42882..47952,z=-37976..-31560
on x=-44765..-20887,y=64370..90871,z=-7955..19952
on x=-78643..-66896,y=26430..38878,z=6012..27389
on x=-11374..5429,y=40091..42394,z=-85912..-63552
on x=-36720..-22900,y=70217..75710,z=-7291..14193
on x=54804..79502,y=-33417..-2960,z=-33411..-10599
on x=-14690..15248,y=33208..55945,z=57795..72235
on x=-20657..570,y=-16338..-2719,z=-88238..-74298
on x=59883..72834,y=-56033..-40707,z=-26043..-5237
on x=-3522..10804,y=70147..89299,z=-37306..-19082
on x=-73328..-41278,y=-50672..-37278,z=-45749..-23154
on x=-37661..-11219,y=65972..95397,z=7489..26740
on x=4648..23315,y=-74707..-63601,z=-45671..-21953
on x=-73245..-44143,y=-11397..27130,z=33643..50646
on x=23427..31406,y=-40010..-22631,z=-69608..-58305
on x=-28851..-2567,y=61584..83543,z=18076..37159
on x=-36523..-25734,y=-39891..-27134,z=-73131..-58257
on x=12346..45691,y=-85792..-53521,z=-35812..-15243
on x=12520..26313,y=-19948..725,z=60247..92751
on x=40031..66621,y=-36963..-10146,z=-61370..-46098
on x=-61357..-42243,y=-70774..-37208,z=3015..23957
on x=-44255..-36032,y=64902..83822,z=-38707..-7320
on x=2615..26712,y=-67359..-45408,z=-75348..-38118
on x=-34475..-11487,y=-51075..-31791,z=-69242..-53855
on x=-50478..-19117,y=-22662..3011,z=-77482..-65102
on x=-75766..-43367,y=569..21233,z=47653..62539
on x=-16711..13174,y=66621..84715,z=30924..51703
on x=36505..56709,y=56803..66839,z=-30463..-23769
on x=-41935..-24686,y=51585..71635,z=-50138..-41708
on x=-24618..-8520,y=-92511..-70045,z=-31123..-11326
on x=-44787..-21109,y=-10120..4934,z=-86974..-64127
on x=-37201..-4038,y=-54506..-32587,z=-81799..-62907
on x=-29237..-20213,y=-57249..-34092,z=45594..72689
on x=-71309..-67214,y=-37692..-36381,z=3640..22746
on x=-3547..7699,y=-31608..-7361,z=-78088..-75610
on x=48449..78570,y=-20875..6499,z=-58599..-41679
on x=26640..46143,y=-93488..-64983,z=3884..23294
on x=55729..68431,y=-56992..-51330,z=7717..16657
on x=-70881..-40862,y=43699..68293,z=-41757..-16061
on x=-66091..-49306,y=-73470..-47817,z=-12616..9220
on x=32569..49130,y=49633..73334,z=-33549..-6711
on x=47554..65310,y=49102..55632,z=-38831..-11759
on x=-35265..-20298,y=36353..45956,z=-66084..-56530
on x=31030..33800,y=62000..82984,z=7545..29519
on x=-25990..7669,y=-38453..-25563,z=61530..85956
on x=-47912..-33964,y=30209..67779,z=48521..59963
on x=5684..15179,y=53175..73170,z=16929..54488
on x=-59354..-29913,y=52682..73787,z=-14796..-2131
on x=34084..52480,y=-55546..-20859,z=-60756..-53769
on x=40943..67063,y=52145..79330,z=-36911..-891
on x=-73304..-48514,y=-38583..-16021,z=24392..37006
on x=-41231..-20861,y=54056..70426,z=-37768..-12525
on x=38016..54122,y=52543..68936,z=-7233..12538
on x=70189..83008,y=-1022..18128,z=-16493..-7936
on x=-92011..-66733,y=3706..17083,z=18952..39596
on x=53238..84760,y=-54249..-35232,z=14232..40140
on x=64776..76657,y=27901..49623,z=-25183..-10958
on x=25860..46172,y=-70154..-64499,z=-24720..-413
on x=-7550..12707,y=-33861..-26819,z=74065..85896
on x=71196..76824,y=-19822..3483,z=-35932..-13158
on x=-86420..-58375,y=-22743..13548,z=21137..47500
on x=53092..63052,y=-67270..-37810,z=3762..26182
on x=-57975..-35066,y=48959..60434,z=21593..35021
on x=-60903..-35118,y=-19788..-13877,z=43710..66595
on x=-17137..2200,y=-42951..-15725,z=68300..89327
on x=-34868..-19211,y=-69403..-51544,z=31958..50653
on x=-60711..-44701,y=54746..62883,z=-11054..7348
on x=-28380..-14837,y=49324..75633,z=34372..52678
on x=10273..13925,y=-83985..-65836,z=-40883..-21930
on x=-22786..-8368,y=-92062..-66976,z=-8871..10273
on x=6001..29817,y=60841..78150,z=-21560..5974
on x=-16117..9624,y=-38050..-28860,z=55450..76632
on x=-4303..6115,y=35360..55718,z=42240..71260
on x=30529..58072,y=-80864..-53460,z=14833..27204
on x=-45298..-33766,y=44943..54544,z=36400..62460
on x=-41980..-26271,y=-76868..-51988,z=-9060..19313
on x=-32623..-6939,y=-66244..-47050,z=38706..63218
on x=-45584..-11160,y=62385..89525,z=6190..27078
on x=-54034..-43653,y=26105..48013,z=-56295..-42027
on x=-95679..-61660,y=-3324..9667,z=-14824..20238
on x=-5181..8383,y=-89084..-73477,z=4244..27316
on x=63213..80642,y=-46995..-19185,z=28458..40793
on x=-46529..-16089,y=5956..26059,z=-82869..-70434
on x=-22666..-9659,y=-83789..-59819,z=16239..33972
on x=-24529..-10505,y=-68395..-44985,z=-43459..-31810
on x=-86703..-68267,y=-25393..-5702,z=9722..38572
on x=19443..39413,y=30648..56526,z=51278..71489
on x=22304..33057,y=66975..90263,z=-1817..24013
on x=50145..68615,y=20323..42544,z=-39938..-5088
on x=204..8225,y=-20134..-4559,z=-90467..-73343
on x=-11771..-1240,y=-79508..-69290,z=31779..41841
on x=-44319..-25397,y=-59323..-44809,z=41138..65009
on x=-69142..-47933,y=-20140..5164,z=-65468..-36685
on x=34954..59983,y=51261..68628,z=429..36253
on x=25511..35598,y=-82471..-51345,z=8986..43333
on x=-2299..28751,y=19297..42840,z=-79575..-58217
on x=-98377..-70557,y=-17063..6429,z=1382..18686
on x=59412..88687,y=-20414..12473,z=-28382..-3990
on x=-46452..-24271,y=9717..28295,z=-77541..-69295
on x=-58123..-25200,y=-75909..-52306,z=23348..36183
on x=-50780..-30310,y=-33058..-28846,z=54733..68695
on x=-62920..-58191,y=23018..46504,z=26935..35840
on x=-53442..-21431,y=25880..48511,z=47200..71448
on x=32350..46922,y=45111..65023,z=-35283..-28540
on x=-70086..-50615,y=28086..33877,z=28764..56396
on x=23197..37854,y=-57704..-36416,z=-74626..-46087
on x=46586..65668,y=30254..59418,z=-50680..-26614
on x=-48638..-24854,y=-67971..-52554,z=-39193..-15566
on x=-34394..-12243,y=52461..80424,z=10521..23171
on x=-188..9519,y=68374..86419,z=-44618..-23169
on x=59310..75659,y=3837..23700,z=23841..45856
on x=-54868..-32564,y=46901..83593,z=11382..35311
on x=-54295..-36208,y=6868..44222,z=49289..71447
on x=-73757..-47984,y=48346..52043,z=-27269..1023
on x=31143..47984,y=-27415..10239,z=-77675..-53538
on x=-51075..-28705,y=29406..50405,z=60261..64407
on x=-24435..-3480,y=-73705..-65429,z=31120..58450
on x=-77894..-42583,y=-28849..-13479,z=-68839..-32078
on x=-30144..-3873,y=33899..52656,z=62539..83700
on x=3771..29713,y=46955..69183,z=-55590..-33020
on x=-82486..-64967,y=-3315..15390,z=-50370..-30971
on x=-18561..-9247,y=61180..78846,z=16883..21316
on x=-22459..368,y=6267..14584,z=-92243..-76717
on x=-93964..-68612,y=590..19875,z=-19094..-3812
on x=-85384..-72525,y=-14316..9021,z=-37469..-21077
on x=-20171..10587,y=-45934..-13740,z=-83530..-63366
on x=-3613..19552,y=2872..26108,z=67591..90335
on x=-54797..-29244,y=52502..75968,z=22631..41978
on x=-31709..-19073,y=-78023..-57867,z=-16044..-1695
on x=42907..64591,y=-60494..-41697,z=7396..34274
on x=-22169..13493,y=-63675..-43704,z=-70146..-42938
on x=-9398..-1009,y=79521..86699,z=-7578..-426
on x=67163..69237,y=-40928..-27442,z=-37200..-14848
on x=-68270..-48997,y=-3215..22691,z=-57315..-36115
on x=-62319..-41948,y=-42354..-15381,z=52464..64318
on x=-91325..-73355,y=-22923..-10674,z=-34655..-6215
on x=-11600..9609,y=-32693..-20365,z=56661..78797
on x=3002..8854,y=-60380..-47370,z=-60935..-47433
on x=-18864..-4001,y=-80823..-56965,z=27467..49339
on x=50065..59019,y=27173..47054,z=29151..52347
on x=-84983..-67041,y=6215..30411,z=-7894..23526
on x=66436..75714,y=-57869..-36031,z=-2629..4449
on x=55871..63911,y=48093..73117,z=-15687..7964
on x=30484..65332,y=37802..57883,z=13640..35473
on x=-3024..13221,y=69479..94018,z=-19781..12330
on x=-76841..-40967,y=44705..64363,z=-12342..3987
on x=-50317..-30669,y=15134..44544,z=45641..62331
on x=-1097..19010,y=-92028..-70161,z=17898..34117
on x=-56910..-34510,y=43871..65037,z=18479..40607
on x=-4087..30841,y=-47782..-16180,z=66517..91004
on x=63556..90817,y=5663..21156,z=-17275..3069
on x=-63..11495,y=-38165..-33947,z=66164..85162
on x=13705..21270,y=-56487..-41847,z=48244..79848
on x=43882..58033,y=-17825..6864,z=-61163..-41014
on x=-603..18764,y=-13707..7626,z=-97578..-62655
on x=-87646..-54123,y=26249..52965,z=1952..14629
on x=-68480..-61994,y=-19265..-5374,z=38032..42034
on x=4892..32392,y=59673..80857,z=11972..45013
on x=-31423..-16100,y=20332..31485,z=54386..71319
on x=-27668..276,y=-88140..-72843,z=-11224..2662
off x=-66569..-39172,y=40067..59785,z=-46779..-25063
off x=42078..50404,y=-8658..7192,z=49971..79381
on x=57638..65415,y=19822..32660,z=-55691..-22924
off x=6091..24900,y=53905..62370,z=-66817..-37882
on x=25136..30308,y=37241..52373,z=-75408..-47124
off x=-39586..-25323,y=60317..72507,z=-5430..19838
on x=60008..79444,y=-16196..22191,z=28310..40549
on x=-72513..-44230,y=-28714..-13259,z=42369..57467
on x=28366..61477,y=-71686..-44177,z=-25642..-12073
off x=-98592..-65990,y=-7494..6861,z=-18836..-1684
off x=41062..54176,y=6902..40549,z=48577..63780
on x=4209..22243,y=16593..41260,z=-90714..-66265
on x=73646..78591,y=7745..28374,z=-19062..4113
off x=-16527..5877,y=-33347..-14564,z=72131..93031
on x=-2601..11915,y=-79662..-76402,z=-19400..-9072
on x=-66043..-52950,y=42449..70740,z=-16397..-8029
on x=31097..49815,y=-70407..-54948,z=-34374..-15818
on x=46213..66123,y=24919..52347,z=39536..60489
off x=-40579..-25363,y=-55492..-36032,z=46465..56187
on x=-58587..-47075,y=-26673..7137,z=-74289..-47998
off x=-71115..-43182,y=5916..16003,z=47055..62648
off x=18056..38394,y=-72256..-45492,z=30393..62619
on x=-86105..-57637,y=19623..34937,z=-28353..-6857
off x=34767..61884,y=24847..43595,z=-57628..-34385
on x=42494..61669,y=61950..64256,z=4508..37093
on x=4938..25400,y=20137..41850,z=66454..79866
off x=66753..77341,y=-26195..-13496,z=2736..36812
off x=9161..36208,y=-71872..-57681,z=-59800..-34255
on x=22803..41931,y=-7230..7249,z=-81263..-63685
